SMILES,Name,MolWeight
CCCCN1C(=O)NC2C1NC(=O)N2CCCC,,254.17
c1ccc2c(c1)oc1ccc(C3OCC4(CO3)COC(c3ccc5oc6ccccc6c5c3)OC4)cc12,,492.16
Nc1nc(SCCSc2n[nH]c(N)n2)n[nH]1,,258.05
CS(=O)(=O)NCCCCCCNS(C)(=O)=O,,272.09
CC1(C)CC(NCN(C2CC(C)(C)NC(C)(C)C2)C2CC(C)(C)NC(C)(C)C2)CC(C)(C)N1,,463.46
CN1c2ccccc2-c2ccccc2C12C=Cc1c(ccc3ccccc13)O2,,361.15
CN(C)/N=C/c1ccc(C2(O)C(=O)NC(=O)NC2=O)o1,,280.08
Fc1ccc(C2=Nn3cnnc3SC2)c(F)c1,,252.03
S=c1n(CN2CCCCC2)cnn1CN1CCCCC1,,295.18
CC(=O)OC1C2COC(O2)C(OC(C)=O)C1OC(C)=O,,288.08
Brc1ccc(/N=C/Nc2ccc(Br)cc2)cc1,,351.92
CC(C)(C)OC(=O)N1C[C@H]2CNC[C@@]2(C(=O)O)C1,,256.14
Cn1cc(-c2nn(C)c(-c3cnn(C)c3)c2Cl)cn1,,276.09
CSc1nc(N2CCCC2)c2c3c(sc2n1)CCC3,,291.09
O=S1(=O)C[C@H](NCCc2cccs2)[C@@H](S(=O)(=O)c2cccs2)C1,,391.0
Cc1ccc(C)c(N2CCN(S(=O)(=O)c3c(C)nc4sc(C)cn4c3=O)CC2)c1,,432.13
C1CCC(c2nc3n(n2)C2(CCCCC2)[C@@H]2CCCC[C@@H]2N3)CC1,,328.26
S=c1cc(Sc2cc(=S)oc3ccccc23)c2ccccc2o1,,353.98
Cn1c(=O)c2c(nc(Br)n2CCn2c(Br)nc3c2c(=O)n(C)c(=O)n3C)n(C)c1=O,,541.97
CCCSc1nc(=O)n(C2CCCC2)c2c1CCC2,,278.15
c1ccc2sc3c(-c4ccncc4)sc4ccccc4[nH]c-3nc2c1,,359.06
Cc1noc(C)c1S(=O)(=O)N1CCC(N)CC1,,259.1
O=S(=O)(N1CCOCC1)N1CCC(C2CCNCC2)CC1,,317.18
COc1cc(/N=c2\ssnc2Cl)c(OC)cc1Cl,,321.94
O=C(O)CSc1sc(=S)sc1SCC(=O)O,,313.89
CN(C)CC(O)CN1C(=O)N(CN2C(=O)N(CC(O)CN(C)C)C(=O)C2(C)C)C(C)(C)C1=O,,470.29
N#CC1(NC2CCCCC2)C2CC3CC(C2)CC1C3,,258.21
O=S1(=O)CCN2C(=N1)Sc1cc(SC(F)F)ccc12,,321.97
O=C(c1ccco1)N1N=C(C(F)F)CC1(O)C(F)F,,280.05
CC(C)(C)n1cc(I)c(I)n1,,375.89
CC(C)CC(NC(=O)C(NC(=O)C1OC2OC(C)(C)OC2C2OC(C)(C)OC12)C(C)C)C(=O)O,,486.26
O=C1CCC(=O)N1C1=NC2=C(CCCC2)C2(CCCCC2)S1,,318.14
CCCC12CN3CC(C)(CN(C1)C3(C)CC)C2=O,,250.2
CC1CN(S(C)(=O)=O)C(C)CN1S(C)(=O)=O,,270.07
O=c1[nH]c2c(Cl)c(Cl)c(Cl)c(Cl)c2[nH]1,,269.89
CN1CCN(c2ncnc3c2sc(=S)n3C)CC1,,281.08
c1cc2n(c1)-c1cc3c(cc1CNC2c1ccc2c(c1)OCO2)OCO3,,348.11
C[N+](C)(CCOc1ccccc1)Cc1ccccc1.O=C([O-])c1cc2ccccc2c(Br)c1O,,521.12
Nc1nonc1-c1noc(NCC2CCCO2)n1,,252.1
CCN1C[C@]2(COC)CC[C@H](O)[C@@]34C5C[C@@H]6[C@@H](OC)C[C@@](O)(C5[C@H]6OC)[C@@](O)([C@@H](OC)C23)[C@@H]14,,467.29
Cc1cc(CC(=O)c2cc(Cl)sc2C)c(C)s1,,284.01
Nc1snc2cc(Br)cc(Br)c12,,305.85
FC(F)n1cc(Cl)c(I)n1,,277.89
Cn1ccn(C2c3ccccc3Oc3ccccc32)c1=S,,294.08
O=C(CCCCC(=O)NC1=NCCS1)NC1=NCCS1,,314.09
CCSc1nnc2c3c4c(sc3n3c(SCC)nnc3n12)COC(C(C)C)C4,,434.1
COC(=O)C(Br)(Br)C12CC3CC(CC(C3)C1)C2,,363.97
OCCSc1nc(N2CCOCC2)nc(N2CCOCC2)n1,,327.14
Cc1c(Br)nc(Br)n1C,,251.89
CN(C)S(=O)(=O)Nc1ccc(S(N)(=O)=O)cc1,,279.03
CSc1nn(CN2CCCCC2)c(=S)s1,,261.04
c1ccc2c(c1)/C(=N\N=C1/c3ccccc3-c3ncccc31)c1cccnc1-2,,358.12
CC1(C)OC(=O)N(CCCCCCCCN2C(=O)OC(C)(C)C2(C)O)C1(C)O,,400.26
O=C1CCC[C@@H]2CN(C(=O)NC3CCCC3)C[C@@H]2N1,,265.18
c1cc2nc(-c3nc4ccc5nsnc5c4[nH]3)[nH]c2c2nsnc12,,350.02
CC1Sc2sc(=S)sc2SC(C)(C)C1=O,,293.93
O=C(O)C1C2C=CC3(CN(Cc4ccco4)C(=O)C13)O2,,275.08
c1ccc(CN2CN(CN3CN(Cc4ccccc4)Cn4nnnc43)c3nnnn3C2)cc1,,444.22
CC12CCC(C(=O)N3CCN(C(=O)C45CCC(C)(C(=O)O4)C5(C)C)CC3)(OC1=O)C2(C)C,,446.24
O=C1CC(n2nnn(C3CCCCC3)c2=S)C2COC1O2,,310.11
N#Cc1cc2c(cc1C#N)Sc1cc(C#N)c(C#N)cc1S2,,315.99
CNc1nc(N(C)C)nc(-n2cnc(SC)n2)n1,,266.11
O=S(=O)(c1ccc(Br)s1)N1CCCC1,,294.93
NCCNCC1COC2(CCCCCCCCCCC2)O1,,298.26
Fc1ccc(C2Nc3ccccc3C(c3ccccc3)(c3ccccc3)O2)cc1,,381.15
Cc1nn(Cn2nc(C)c(Br)c2C)c(C)c1N,,297.06
COc1ccc2c(c1OC)C(=O)N1C(C(=O)O)CSC21,,295.05
CCCCCCCCn1c2c(c(=N)c3c1CCC3)CCC2,,286.24
CC1CN(c2nc3nonc3nc2N2CC(C)OC(C)C2)CC(C)O1,,348.19
O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)c(Cl)c1,,319.92
O=C(CCCC(=O)NN=C1CCCC1)NN=C1CCCC1,,292.19
CCS(=O)(=O)N1CCN(S(C)(=O)=O)CC1,,256.06
c1ccc2oc(SC[Si-]345OCC[N+]3(CCO4)CCO5)nc2c1,,338.08
c1cc2c(s1)C1CCCCC1OC21C2CC3CC(C2)CC1C3,,314.17
O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,,302.04
CC(C)/C=C1\CCCc2c1nc(C(C)C)c1c2CCCC1,,283.23
O=c1[nH]ncn2nc(Br)c(Br)c12,,291.86
CC1(OCC#CCN2CCOCC2)COC(C)(OCC#CCN2CCOCC2)OC1,,422.24
Nc1c(I)cnn1C(F)F,,258.94
CC1CCC2(NC1)OC1CC3C4CC=C5CC(O)CCC5(C)C4CCC3C1(C)[C@@H]2C,,413.33
C(=C\c1nn2c(-c3ccco3)nnc2s1)\c1ccco1,,284.04
Cc1cc(C)cc(/N=c2\ssc3c2-c2cc(C)c(C)cc2NC3(C)C)c1,,380.14
O=c1[nH]c(=S)[nH]c(O)c1Cc1c(O)[nH]c(=S)[nH]c1=O,,300.0
Clc1ncn(C23CC4CC(CC(c5nnc(C67CC8CC(CC(C8)C6)C7)o5)(C4)C2)C3)n1,,439.21
C(=N/Nc1ccc2ccccc2n1)\c1ccc2ccccc2n1,,298.12
CN(C)C(=O)C1CN(C(=O)NC2CCCC2)CC12CCCC2,,307.23
CC12CN3CC(C)(CN(C1)C3C(O)C(O)C(O)C(O)CO)C2=O,,330.18
COCc1nnn2c1COC1(CCN(S(=O)(=O)c3c(C)noc3C)CC1)C2,,397.14
CC1=Nn2c(nnc2C(F)F)S/C1=C\c1cccs1,,298.02
Ic1ccc2[nH]c3ccc(I)cc3c2c1,,418.87
CSc1ccc(/C=N/N(C)CCN(C)/N=C/c2ccc(SC)cc2)cc1,,386.16
C1=CCC(CN2CCN(C3CC4CCC3C4)CC2)CC1,,274.24
Cn1cc(-c2n[nH]c(-c3cnn(C)c3)c2Cl)cn1,,262.07
CN1C(=O)c2ccccc2N2C(=O)c3ccccc3C12,,264.09
Cc1sc(C)c(CNCC(C)C)c1CNCC(C)C,,282.21
O=S(=O)(Nc1ccc2c(c1)OCCO2)c1ccc(N2CCCCS2(=O)=O)cc1,,424.08
O=C(c1cnc2sc(N3CCCCC3)nn2c1=O)N1CCC2(CC1)OCCO2,,405.15
N#Cc1c(SCC(N)=O)nsc1SCC(N)=O,,287.98
CCOc1cccc(OCC)c2c(C)[n+](-c3ccc(C)cc3)c(C)c1-2,,336.2
CC(C)=CCC/C(C)=C/CCC1(C)OC(=O)N(C2CC(C)(C)NC(C)(C)C2)C1(C)O,,420.34
O=C(O)CCC(C(=O)O)N1C(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c2C1=O,,412.9
c1cc2c(cc1-c1ccc(SCc3nc(-c4ccc5c(c4)OCO5)no3)nn1)OCO2,,434.07
CCN(CC)C1(c2nnnn2C2CCCC2)CCNC1,,278.22
Cn1cnc(S(=O)(=O)N2CCC(OC3CCN(S(C)(=O)=O)CC3)CC2)c1,,406.13
C1CCCC(Nc2nc3nonc3nc2NC2CCCCCC2)CC1,,344.23
O=C(CC1(O)C(=O)Nc2ccccc21)CC1(O)C(=O)Nc2ccccc21,,352.11
O=S1(=O)C[C@H](NC2CCCC2)[C@@H](S(=O)(=O)c2cccs2)C1,,349.05
Nn1c(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)nnc1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,,582.29
Nc1nc(SCCCSc2n[nH]c(N)n2)n[nH]1,,272.06
O=P1(c2ccccc2O)COc2ccccc2OC1,,276.06
CN1CCN(CC2(O)CCC3(CCN(S(=O)(=O)N(C)C)CC3)CC2)CC1,,388.25
O=S(=O)(c1ccc(F)s1)N1CCOCC1,,251.01
COCCN1[C@@H]2CCCC[C@@]2(C(=O)N(C)C)CCS1(=O)=O,,318.16
CC1Cn2c(nc(=O)c3c2NCN(C(C)C)C3)S1,,266.12
NCCCCCCNC12CC3CC(CC(C3)C1)C2,,250.24
c1ccc(COC2C3COC(O3)C(OCc3ccccc3)C2OCc2ccccc2)cc1,,432.19
Cc1nn(CCc2nnc(-c3nn(C)cc3Br)o2)c(C)c1Br,,427.96
CC1(C(=O)O)CCC(C(=O)N2CCCC2)C1(C)C,,253.17
[O-][n+]1c2c(nn1-c1ccc(Cl)c(Cl)c1)-c1nonc1CC2,,323.0
C[C@]12CCC(OC3CCCCO3)CC1CCC1C2CC[C@]2(C)C(O)CCC12,,376.3
OC1=C2C(=Nc3ccccc3SC2c2cccc(Oc3ccccc3)c2)c2ccccc21,,433.11
Cn1ccnc1CN1CCN(Cc2nccn2C)CC1,,274.19
CCC1Sc2sc(=S)sc2SC(CC)C1=O,,307.95
Brc1ccc(-c2ccc(Br)cc2)cc1,,309.9
Cc1ccc(/C=N/c2sc3c(c2C#N)CCC3)s1,,272.04
O=S1(=O)CCN(CC2CCCO2)c2c(OCC3CCCO3)nc(F)c(Cl)c21,,420.09
