SMILES,Name,MolWeight
CCN1C[C@]2(COC)CC[C@H](O)[C@@]34C5C[C@@H]6[C@@H](OC)C[C@@](O)(C5[C@H]6OC)[C@@](O)([C@@H](OC)C23)[C@@H]14,N060-0120,467.29
Cc1cc(CC(=O)c2cc(Cl)sc2C)c(C)s1,8020-8764,284.01
Nc1snc2cc(Br)cc(Br)c12,8020-2375,305.85
FC(F)n1cc(Cl)c(I)n1,Y507-5092,277.89
Cn1ccn(C2c3ccccc3Oc3ccccc32)c1=S,8016-2858,294.08
O=C(CCCCC(=O)NC1=NCCS1)NC1=NCCS1,Y204-2084,314.09
CCSc1nnc2c3c4c(sc3n3c(SCC)nnc3n12)COC(C(C)C)C4,8016-5415,434.1
COC(=O)C(Br)(Br)C12CC3CC(CC(C3)C1)C2,0111-0056,363.97
OCCSc1nc(N2CCOCC2)nc(N2CCOCC2)n1,8016-5133,327.14
Cc1c(Br)nc(Br)n1C,Y507-4200,251.89
CN(C)S(=O)(=O)Nc1ccc(S(N)(=O)=O)cc1,Y510-6126,279.03
CSc1nn(CN2CCCCC2)c(=S)s1,8009-1406,261.04
c1ccc2c(c1)/C(=N\N=C1/c3ccccc3-c3ncccc31)c1cccnc1-2,8018-2775,358.12
CC1(C)OC(=O)N(CCCCCCCCN2C(=O)OC(C)(C)C2(C)O)C1(C)O,8012-4856,400.26
O=C1CCC[C@@H]2CN(C(=O)NC3CCCC3)C[C@@H]2N1,SB66-0880,265.18
c1cc2nc(-c3nc4ccc5nsnc5c4[nH]3)[nH]c2c2nsnc12,8015-4955,350.02
CC1Sc2sc(=S)sc2SC(C)(C)C1=O,8008-0857,293.93
O=C(O)C1C2C=CC3(CN(Cc4ccco4)C(=O)C13)O2,8016-6989,275.08
c1ccc(CN2CN(CN3CN(Cc4ccccc4)Cn4nnnc43)c3nnnn3C2)cc1,8016-6862,444.22
CC12CCC(C(=O)N3CCN(C(=O)C45CCC(C)(C(=O)O4)C5(C)C)CC3)(OC1=O)C2(C)C,5400-1521,446.24
O=C1CC(n2nnn(C3CCCCC3)c2=S)C2COC1O2,8009-6191,310.11
N#Cc1cc2c(cc1C#N)Sc1cc(C#N)c(C#N)cc1S2,Y513-1865,315.99
CNc1nc(N(C)C)nc(-n2cnc(SC)n2)n1,D684-0028,266.11
O=S(=O)(c1ccc(Br)s1)N1CCCC1,Y512-7654,294.93
NCCNCC1COC2(CCCCCCCCCCC2)O1,6228-0066,298.26
Fc1ccc(C2Nc3ccccc3C(c3ccccc3)(c3ccccc3)O2)cc1,8012-7777,381.15
Cc1nn(Cn2nc(C)c(Br)c2C)c(C)c1N,Y509-9133,297.06
COc1ccc2c(c1OC)C(=O)N1C(C(=O)O)CSC21,Y043-4895,295.05
CCCCCCCCn1c2c(c(=N)c3c1CCC3)CCC2,4817-2894,286.24
CC1CN(c2nc3nonc3nc2N2CC(C)OC(C)C2)CC(C)O1,8019-4732,348.19
O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)c(Cl)c1,8008-8158,319.92
O=C(CCCC(=O)NN=C1CCCC1)NN=C1CCCC1,Y500-5658,292.19
CCS(=O)(=O)N1CCN(S(C)(=O)=O)CC1,Y511-6240,256.06
c1ccc2oc(SC[Si-]345OCC[N+]3(CCO4)CCO5)nc2c1,8008-0847,338.08
c1cc2c(s1)C1CCCCC1OC21C2CC3CC(C2)CC1C3,8018-9239,314.17
O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,R092-0051,302.04
CC(C)/C=C1\CCCc2c1nc(C(C)C)c1c2CCCC1,6228-0036,283.23
O=c1[nH]ncn2nc(Br)c(Br)c12,Y509-0681,291.86
CC1(OCC#CCN2CCOCC2)COC(C)(OCC#CCN2CCOCC2)OC1,8012-6865,422.24
Nc1c(I)cnn1C(F)F,Y507-2560,258.94
CC1CCC2(NC1)OC1CC3C4CC=C5CC(O)CCC5(C)C4CCC3C1(C)[C@@H]2C,6944-0151,413.33
C(=C\c1nn2c(-c3ccco3)nnc2s1)\c1ccco1,Y512-5413,284.04
